,appid,Publisher
884,314790,Daedalic Entertainment
885,474050,White Rabbit Games
886,362490,Bare Mettle Entertainment
887,368340,Deck13
888,107200,MinMax Games Ltd.
889,394760,App Holdings
890,254100,Topware Interactive
891,312520,Adult Swim Games
892,460810,SEGA
893,593030,Slitherine Ltd.
894,555220,RedCandleGames
895,130,Valve
897,512770,Merlin Beer
898,424030,Campfire Games
899,504880,DL Softworks
900,407330,Winged Cloud
901,21090,Warner Bros. Interactive Entertainment
902,222440,SNK CORPORATION
903,225080,505 Games
904,591370,Positech Games
906,639170,Telltale Games
908,221260,Tomorrow Corporation
909,12320,Strategy First
910,527290,"KOEI TECMO GAMES CO., LTD."
912,407190,2tainment GmbH
914,272230,Devolver Digital
915,385800,Sekai Project
916,202200,Stardock Entertainment
917,300570,Zachtronics
918,718650,Star Drifters
922,224540,Jagex
924,57640,Revolution Software Ltd
925,618970,Bigben Interactive
926,429280,8Floor
927,345390,Sierra
928,477980,!Lim studio
929,45770,Capcom
930,39000,NASA
931,405640,Daniel Mullins Games
932,665180,Paradise Project
933,494670,astragon Entertainment
934,416450,Pixel Federation
935,303720,8Floor
936,265610,Matt Roszak
938,497180,Activision Value Inc.
939,95400,Sparpweed
940,2800,Egosoft
941,735280,Sixteen Tons Entertainment
942,338170,Rising Star Games
943,314520,Dovetail Games - Fishing 
944,368590,K Bros Games
945,356570,tinyBuild
946,2760,Atari
947,357190,"CAPCOM U.S.A., INC."
948,239250,Konami Digital Entertainment
952,581630,Diatomic Games
954,365300,Self Published
955,475190,Introversion Software
956,482770,SEGA
957,418250,Slitherine Ltd.
958,241260,Focus Home Interactive
959,24870,Electronic Arts
961,513510,KHB-Soft
962,351710,Idea Factory
963,72200,Giant Army
964,357780,Alda Games
965,382490,Rogue Snail
966,607880,BANDAI NAMCO Entertainment
967,8140,Square Enix
968,251110,Loiste Interactive
969,444490,New Reality Games
970,528510,Back To Basics Gaming
971,485950,KishMish Games
972,347560,Back To Basics Gaming
973,506670,Ardi Studio
974,485830,New Worlds Games
975,465760,Flazm
977,7510,Topware Interactive
978,475220,André Bertaglia
979,222730,Abbey Games
980,249590,Rain Games
981,511800,Pragmatix Ltd
982,208520,Kalypso Media Digital
983,552920,The Irregular Corporation
984,278890,Alastair John Jack
985,344880,Conflux Games
986,546200,8Floor
988,333300,Thomas Biskup
989,614910,Paleno Games
990,464850,Big Ant Studios
991,113420,Little Orbit
992,443940,RenPen
993,639780,Neko Climax Studios
994,424370,WOLCEN Studio
995,561340,DyingCat
997,233290,Square Enix
998,314660,"Oddworld Inhabitants, Inc."
999,619520,Vyacheslav Shilikhin
1000,562010,APL Publishing Ltd.
1001,623550,REX PEX GAMES
1002,410380,Hex Entertainment
1003,410900,EarthWork Games
1004,40390,Deep Silver
1005,483770,Aerosoft GmbH
1006,429790,"Artix Entertainment, LLC"
1007,746910,Jakal Studios
1008,467120,Magicbane
1009,527230,Curve Digital
1010,254200,Digital Tribe
1011,418030,ColdGames
1012,504050,Craneballs
1013,217200,Team17 Digital Ltd
1014,313340,Double Fine Presents
1015,63950,1C Entertainment
1016,496680,Sometimes You
1017,546660,SGTTB_Studios
1018,338530,Charyb Games
1019,563120,New Reality Games
1021,414290,EfimovMax
1023,71340,SEGA
1024,635200,Alawar Premium
1026,445310,Ubisoft
1027,463220,New Reality Games
1028,293180,Microblast Games
1029,382110,Guy Godin
1031,331790,New Reality Games
1032,454910,Aeria Games
1033,410340,LuGus Studios
1034,606800,Hovgaard Games
1035,7520,"Topware Interactive, ACE"
1036,285160,Warner Bros. Interactive Entertainment
1037,262150,eigoMANGA
1038,265550,Capcom
1039,581030,Atomic Fabrik
1040,438030,New Reality Games
1041,47780,Electronic Arts
1042,428630,Infernal Dream
1043,465240,Devolver Digital
1044,464340,Microids
1045,440650,Stray Fawn Studio
1046,616560,Brilliant Game Studios
1047,242700,Warner Bros. Interactive Entertainment
1048,469730,Back To Basics Gaming
1049,223850,UL
1050,302510,Crytek 
1051,604500,Extreme Developers
1052,356500,Disney Interactive
1053,223710,Team Psykskallar
1054,212480,SEGA
1055,434570,Grunge Games LTD
1056,507390,Sometimes You
1057,585900,Natsume Inc.
1058,218680,Warner Bros. Interactive Entertainment
1060,35700,Frozenbyte
1061,575840,Sometimes You
1062,3990,2K
1063,266510,Defiant Development
1064,209870,"Hardsuit Labs, Inc."
1065,214170,Larian Studios
1066,400740,Infernal Dream
1067,393530,PlayFlock
1068,452060,The Yogscast
1069,312990,Devolver Digital
1070,471010,IMGN.PRO
1071,265300,CI Games
1072,640590,Warner Bros. Interactive Entertainment
1073,17470,Electronic Arts
1074,448280,Owlchemy Labs
1075,384180,505 Games
1076,290730,ELYLAND  INVESTMENT COMPANY Ltd
1077,261030,Skybound Games
1079,259080,Square Enix
1080,607200,AlternativaPlatform Ltd.
1081,554530,Displacement Studios
1082,407530,Studio Wildcard
1083,419480,Iceberg Interactive
1084,598330,LVGameDev LLC
1085,564530,Activision
1086,571260,SNK CORPORATION
1087,235400,Nival
1088,289520,1C Entertainment
1089,495780,Sometimes You
1090,3920,2K
1091,237110,Warner Bros. Interactive Entertainment
1092,525300,IR Studio
1093,367670,Koga Tech Limited
1094,15100,Ubisoft
1096,619080,"Outpost Games, Inc."
1097,574070,ToHeroes Game Studios LLC
1098,4850,GSC World Publishing
1099,462770,Supergiant Games
1100,717790,DistrictWare inc.
1101,412830,"Spike Chunsoft Co., Ltd."
1102,209080,Muse Games
1103,200170,Team17 Digital Ltd
1104,32800,Warner Bros. Interactive Entertainment
1105,343360,Microblast Games
1106,596690,Vyacheslav Shilikhin
1107,535230,DolphinBarn
1108,383870,Panic
1109,363680,Focus Home Interactive
1110,284950,DL Softworks
1111,298240,"Rocketeer Games Studio, LLC"
1112,267530,Warner Bros. Interactive Entertainment
